date;tavg;tmin;tmax;prcp;wdir;wspd;pres
2022-01-01;12,1;10;14,3;0;189;14,2;1023,1
2022-01-02;11,8;9,2;13,3;12,7;217;20,5;1014,9
2022-01-03;9,2;7,6;10,2;12,4;223;19,2;1011,8
2022-01-04;6,4;2,6;7,7;9,1;233;11,1;999,8
2022-01-05;3,3;0,8;5,4;0,8;257;12,9;1009,7
2022-01-06;3,3;2,3;5,2;1;228;10,8;1019,4
2022-01-07;3,6;1,7;5,4;2,8;212;18,3;1012,6
2022-01-08;3,6;0,9;6,6;9,5;204;17,7;1005,6
2022-01-09;4,1;0,9;6,7;4,1;245;12,8;1001,7
2022-01-10;-0,1;-1,8;0,8;0;167;8,6;1021,2
2022-01-11;2,2;0,2;6,9;0;177;10;1033
2022-01-12;2,3;-0,2;4;0,3;229;5,5;1039,7
2022-01-13;1,8;-1,4;6;0;221;5,5;1041,7
2022-01-14;3,2;0,1;7,2;0;228;6,2;1036,7
2022-01-15;2,7;0,3;6,4;0;122;7,1;1028,4
2022-01-16;2,4;0,8;3,4;0,7;225;12;1027,4
2022-01-17;5,3;3;7,2;0;252;8,6;1036
2022-01-18;4,9;1,9;8,8;0;92;5,9;1038,1
2022-01-19;3,4;0,6;5,8;1,3;224;11;1027,3
2022-01-20;3,5;2,5;5;0,8;305;11,6;1030,8
2022-01-21;2,8;-0,2;5,3;0,5;269;8,1;1036,2
2022-01-22;4,6;3,4;5,4;0;259;8,4;1036,3
2022-01-23;4,6;4;5,5;0;164;5,1;1036,2
2022-01-24;3,4;0,7;7,1;0;92;7,1;1034,3
2022-01-25;0,2;-1,3;1,3;0;88;6,4;1034,3
2022-01-26;1,6;0,7;2,9;0;229;9,2;1033,7
2022-01-27;5,6;2,5;8,4;2,8;242;15,2;1028,2
2022-01-28;3,4;0,9;5,1;0;229;9,5;1035
2022-01-29;8,1;4,9;10,7;0,3;240;17,8;1028,1
2022-01-30;4,7;1,7;7,5;0;257;9,2;1030
2022-01-31;4,9;2,8;6;4,6;286;23,7;1017,8
2022-02-01;5,8;2,1;9,6;0,8;253;14,1;1020,1
2022-02-02;8,5;7,7;9,8;0,9;272;11,1;1021,5
2022-02-03;7;6,2;8,1;0,1;219;15,9;1017,7
2022-02-04;6,3;3,8;8,7;2;228;19,8;1012,7
2022-02-05;5,1;1,5;8,1;0;230;16,5;1021
2022-02-06;7,4;4,9;9,4;24,1;241;30,9;1008,4
2022-02-07;5,4;2,7;7,9;0;259;17,1;1023,9
2022-02-08;8,4;5;10,1;1;234;14,9;1029,2
2022-02-09;8,8;7,2;11,4;0;219;14;1026,5
2022-02-10;5,2;3,3;7,5;10,2;247;9,1;1022,1
2022-02-11;3,3;0,5;7,6;0;274;10;1031
2022-02-12;3,2;-0,2;7,5;0;168;16,1;1028
2022-02-13;6,3;1,4;10,6;0;179;23,4;1011,4
2022-02-14;9;5,9;10,7;2,4;205;21,9;1001,8
2022-02-15;7,1;4,7;9,6;5,8;223;18,6;1010,4
2022-02-16;10,8;8,3;12,9;6,3;222;25,5;1000,5
2022-02-17;10;6,9;13,2;1,3;252;26;1007,7
2022-02-18;8,8;6,8;12,1;2,8;216;27,5;1003,1
2022-02-19;5,8;3,4;7,6;4,7;226;23,6;1012,7
2022-02-20;9,2;6,5;11,2;9,7;226;30,6;1008,1
2022-02-21;6,3;4;8,4;4,6;264;24;1006,4
2022-02-22;6,9;2,9;10,8;1,3;240;16,8;1019,7
2022-02-23;7,2;2,2;11,6;0;213;13,7;1024,5
2022-02-24;5,9;2,5;10,5;4,6;221;18,6;1013,9
2022-02-25;3,9;1,1;7,8;1,8;258;14,3;1024,7
2022-02-26;3,3;-1;9;0;147;8,4;1033,8
2022-02-27;4,4;-0,8;11,2;0;112;13,8;1029,7
2022-02-28;5,6;1,6;11;0;154;14,1;1029,4
2022-03-01;6,4;2,6;10,3;0;154;8,6;1027,6
2022-03-02;6,9;3,6;11,4;0;99;7,7;1022,9
2022-03-03;7;1,4;13,9;0;106;8,9;1017,9
2022-03-04;5,9;0,6;12,9;0;98;8,9;1019,4
2022-03-05;4,8;-1,1;10,7;0;21;8,7;1020,4
2022-03-06;2,6;-0,9;7;0;40;14,6;1025,2
2022-03-07;1,8;-2,1;6,2;0;75;15;1025,5
2022-03-08;4,4;-2,7;11,4;0;118;12,9;1020,3
2022-03-09;8,3;3,3;15,3;0;148;12,9;1021,4
2022-03-10;10,4;6,2;16,8;0;138;15,8;1021,3
2022-03-11;11,1;5,8;16,7;0;144;20;1012,9
2022-03-12;10,9;8,1;14,3;0;168;18;1015
2022-03-13;10,9;8,3;15,5;0;162;20,4;1013,1
2022-03-14;9,4;7,2;13,8;0;208;12,8;1024,5
2022-03-15;8,3;5,4;12;0;117;10,1;1024,7
2022-03-16;9,2;4,1;13,1;0;122;11,3;1021,2
2022-03-17;8,5;4,7;11,8;0,1;314;12,8;1029,9
2022-03-18;8,5;1,5;14,6;0;57;14,6;1041,5
2022-03-19;9,4;5,4;14,3;0;73;19,4;1038,1
2022-03-20;4,8;1,8;8,3;1,5;70;10,2;1028,6
2022-03-21;9,8;1,5;18,1;0;126;7,1;1029,8
2022-03-22;13,3;6,9;19,8;0;128;10,5;1030,2
2022-03-23;11,6;5;18,4;0;256;6,7;1030,4
2022-03-24;12,1;4,9;18;0;17;8,1;1029,7
2022-03-25;11,7;5,6;17;0;47;11;1030
2022-03-26;12,3;5,6;18,2;0;54;14,1;1031,1
2022-03-28;11,3;4,4;17,1;0;350;6,3;1023,2
2022-03-29;11,7;7,6;15,3;0;60;8;1012,1
2022-03-30;8,8;6,6;11,2;0,3;62;9,8;1004,6
2022-03-31;4,5;2;7,5;0,3;345;13;1001
2022-04-01;1,4;0;3;2,9;23;17,3;1007,8
2022-04-02;3;0,7;5,5;0;19;17,9;1018,3
2022-04-03;2,9;-2,9;7,7;0;341;9;1024
2022-04-04;4;0,7;7;1,9;221;21,8;1014,9
2022-04-05;10,4;6,1;12,6;4,6;244;15,6;1008,6
2022-04-06;9,4;8;11,1;1,5;217;22,7;1003,1
2022-04-07;10,1;8,5;12,5;5,6;233;33,2;991
2022-04-08;6,3;5;8,2;0;284;10,9;999,7
2022-04-09;5,9;1,4;11;0;272;13,6;1013,1
2022-04-10;6,7;0,9;12;0;211;6,2;1020,6
2022-04-11;11,3;3,9;17,9;0;114;14;1015
2022-04-12;14,7;8,1;20,8;0;149;15,6;1009,2
2022-04-13;12,4;11;14,4;3,8;216;5,1;1016,6
2022-04-14;13,2;8,5;18,3;0;252;7,1;1022,2
2022-04-15;12,4;7,1;17,3;0;37;9,4;1026,9
2022-04-16;11,7;5,8;17,6;0;76;12,8;1030,2
2022-04-17;12,5;4,3;19,8;0;106;10,1;1025,6
2022-04-18;13,7;5,8;19,9;0;140;10,5;1017,9
2022-04-19;13,4;6;19,3;0;6;9;1014,2
2022-04-20;12,9;8,4;17,6;0;66;13,4;1014,5
2022-04-21;13,4;7,6;18,6;0;70;13,2;1011,3
2022-04-22;12,3;7,7;16,6;0;65;14,1;1005,8
2022-04-23;14,1;9,9;19,5;0;76;15,9;1001,8
2022-04-24;14;10;18,6;0;31;15,8;1003,3
2022-04-25;8,8;7,2;12,2;10,4;11;10,2;1011,5
2022-04-26;9,9;7,1;13,7;0,3;355;13,5;1018,7
2022-04-27;10,7;5,1;16,1;0;27;11;1025,4
2022-04-28;11,9;5,5;18,3;0;38;12,5;1029,1
2022-04-29;11,2;8,1;15,5;0;31;9,8;1028,6
